NodeID,Lat,Lon,Type,Street Name
#osgb4000000009047706,53.529551,-2.554873,0,[18 45]
#osgb4000000009047936,53.531869,-2.549171,0,[19 49]
#oseg4000000009047931,53.531859,-2.549397,1,19
#oseg4000000009047932,53.531859,-2.549457,1,19
#oseg4000000009047933,53.531867,-2.549623,1,19
#oseg4000000009047934,53.531946,-2.550167,1,19
#oseg4000000009047935,53.531954,-2.550318,1,19
#oseg4000000009047936,53.531972,-2.550394,1,19
#osgb4000000009047935,53.531981,-2.550438,0,[19]
#osgb4000000009047551,53.528157,-2.562684,0,[20  2]
#oseg4000000009047537,53.528392,-2.562401,1,20
#oseg4000000009047538,53.52841,-2.562386,1,20
#osgb5000005181120518,53.528428,-2.562371,0,[ 20 139]
#osgb4000000009048112,53.52352,-2.541053,0,[21 62]
#osgb4000000009047691,53.523923,-2.541496,0,[21]
#osgb4000000009048139,53.532016,-2.550994,0,[22]
#oseg4000000009048139,53.532023,-2.551043,1,22
#oseg4000000009048140,53.532058,-2.55121,1,22
#oseg4000000009048141,53.53212,-2.551346,1,22
#oseg4000000009048142,53.532156,-2.551422,1,22
#oseg4000000009048143,53.532263,-2.551559,1,22
#oseg4000000009048144,53.532335,-2.551606,1,22
#osgb4000000009047946,53.532353,-2.551606,0,[22 53]
#osgb4000000009047608,53.527512,-2.560639,0,[23  2]
#osgb4000000009047866,53.527682,-2.560551,0,[23]
#osgb4000000009048458,53.522628,-2.537648,0,[ 2 78]
#osgb4000000009048457,53.522634,-2.538357,0,[2]
#osgb4000000009526035,53.513413,-2.545263,0,[13]
#oseg4000000009526045,53.5133,-2.544994,1,13
#oseg4000000009526046,53.513149,-2.544616,1,13
#osgb4000000009688541,53.513131,-2.544566,0,[13]
#osgb4000000009526071,53.52487,-2.548633,0,[24]
#oseg4000000009526047,53.524871,-2.548311,1,24
#osgb4000000009047879,53.524881,-2.548205,0,[24 33 12]
#osgb5000005176878917,53.522772,-2.542468,0,[2]
#oseg5000005176878948,53.522776,-2.542522,1,2
#oseg5000005176878949,53.522794,-2.542628,1,2
#osgb4000000009046255,53.52282,-2.542839,0,[  2 128]
#osgb4000000009047562,53.523788,-2.547346,0,[  2 114]
#oseg4000000009047550,53.523831,-2.547538,1,2
#oseg4000000009047551,53.523923,-2.547952,1,2
#oseg4000000009047552,53.523973,-2.548178,1,2
#osgb4000000009048354,53.523973,-2.548194,0,[  2 111  12]
#osgb4000000009047629,53.529364,-2.560181,0,[25 89]
#osgb4000000009047682,53.526728,-2.553026,0,[26 50]
#osgb4000000009047885,53.526824,-2.553782,0,[26 50]
#osgb4000000009047905,53.525109,-2.543592,0,[27 68]
#oseg4000000009047953,53.525126,-2.543834,1,27
#oseg4000000009047954,53.525151,-2.544242,1,27
#oseg4000000009047955,53.525168,-2.544347,1,27
#oseg4000000009047956,53.525195,-2.544408,1,27
#oseg4000000009047957,53.525222,-2.544454,1,27
#osgb4000000009047906,53.525248,-2.544484,0,[27]
#osgb4000000009047931,53.530699,-2.555356,0,[ 5 28]
#oseg4000000009047958,53.530501,-2.555489,1,5
