row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Links
368909,usrn44100541,CAERNARVON ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217575']
369189,usrn44102930,SARAH STREET,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009215559', 'osgb4000000009713896']"
369201,usrn44103035,SLACKEY FOLD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009215647']
369334,usrn44103899,YEALAND GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217376']
369335,usrn44103900,CARNFORTH AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217635', 'osgb4000000009217636', 'osgb4000000009217637']"
369336,usrn44103905,SILVERDALE ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217612', 'osgb4000000009688741', 'osgb4000000009688762']"
369337,usrn44103909,STIRLING ROAD,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217298']
369338,usrn44103911,RUABON CRESCENT,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217112']
369339,usrn44103920,TINTAGEL ROAD,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217162', 'osgb4000000009217368']"
369340,usrn44103922,WEYMOUTH DRIVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217164']
369343,usrn44103938,ASHFIELD AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217297', 'osgb4000000009217572', 'osgb4000000009217732', 'osgb4000000009217733', 'osgb4000000009217734', 'osgb4000000009217735', 'osgb4000000009217799', 'osgb5000005181124399']"
369344,usrn44103939,BEECHFIELD AVENUE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217296']
369345,usrn44103942,HAWTHORN AVENUE,Wigan,WIGAN,HINDLEY GREEN,"['osgb4000000009217319', 'osgb4000000009217323', 'osgb4000000009217592', 'osgb4000000009527210', 'osgb5000005200196824']"
369346,usrn44103946,LAUREL CRESCENT,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217320']
369347,usrn44103957,WESTLAKE GROVE,Wigan,WIGAN,HINDLEY GREEN,['osgb4000000009217332']
