NodeID,Lat,Lon,Type,Street Name
#oseg4000000030010636,51.586989,-0.132163,1,7
#osgb4000000030010641,51.587256,-0.132007,0,[ 7 84]
#osgb4000000030010694,51.586308,-0.115994,0,[  8 253 975]
#oseg4000000030010637,51.586522,-0.115884,1,8
#oseg4000000030010638,51.58654,-0.115913,1,8
#oseg4000000030010639,51.58656,-0.116027,1,8
#osgb4000000030010693,51.586702,-0.117046,0,[  8 849]
#osgb4000000030010791,51.576127,-0.10028,0,[  9 257]
#oseg4000000030010740,51.576109,-0.100271,1,9
#oseg4000000030010741,51.575864,-0.100147,1,9
#oseg4000000030010742,51.575393,-0.099921,1,9
#osgb4000000030010790,51.575338,-0.099895,0,[  9 506]
#osgb4000000030010776,51.577177,-0.102907,0,[  10 1186]
#oseg4000000030010743,51.576711,-0.102802,1,10
#osgb4000000030010779,51.576527,-0.10276,0,[  10 1024]
#osgb4000000030010878,51.574729,-0.092271,0,[ 11 304]
#oseg4000000030010844,51.574655,-0.092173,1,11
#oseg4000000030010845,51.574601,-0.092132,1,11
#oseg4000000030010846,51.574547,-0.09212,1,11
#oseg4000000030010847,51.574483,-0.092094,1,11
#oseg4000000030010848,51.574402,-0.092097,1,11
#osgb4000000030006961,51.57434,-0.092115,0,[  11 1035]
#osgb4000000030011020,51.582656,-0.087046,0,[  12 1156]
#oseg4000000030011049,51.582551,-0.086127,1,12
#osgb4000000030011015,51.582529,-0.085868,0,[ 12 136]
#osgb4000000030011121,51.589715,-0.112013,0,[13]
#osgb4000000030785220,51.589241,-0.11186,0,[13]
#osgb4000000030011298,51.596898,-0.103529,0,[14]
#osgb4000000030011290,51.596494,-0.104672,0,[ 14 270]
#osgb4000000030011524,51.600278,-0.142231,0,[15 59]
#oseg4000000030011550,51.600284,-0.142158,1,15
#oseg4000000030011551,51.6003,-0.141955,1,15
#oseg4000000030011552,51.600293,-0.141494,1,15
#oseg4000000030011553,51.60028,-0.141263,1,15
#oseg4000000030011554,51.600258,-0.140961,1,15
#oseg4000000030011555,51.600237,-0.140803,1,15
#osgb4000000030011526,51.600188,-0.14053,0,[ 15 478]
#osgb4000000030012186,51.600372,-0.109032,0,[ 16 868]
#oseg4000000030012156,51.600501,-0.108895,1,16
#oseg4000000030012157,51.600589,-0.10879,1,16
#oseg4000000030012158,51.601061,-0.107962,1,16
#oseg4000000030012159,51.601115,-0.107931,1,16
#osgb4000000030012187,51.601151,-0.107929,0,[ 16 888]
#osgb4000000030012361,51.601087,-0.093434,0,[ 17 186]
#osgb4000000030012355,51.601656,-0.093627,0,[ 17 341]
#osgb4000000030012488,51.605134,-0.086144,0,[18]
#oseg4000000030012460,51.604962,-0.086224,1,18
#oseg4000000030012461,51.604793,-0.086347,1,18
#oseg4000000030012462,51.604642,-0.086469,1,18
#osgb4000000030012485,51.604571,-0.08653,0,[ 18 399]
#osgb4000000031014858,51.577186,-0.073313,0,[19]
