NodeID,Lon,Lat
#osgb4000000009526036,-2.546881,53.513605
#osgb4000000009046427,-2.54696,53.523026
#osgb4000000009046313,-2.546279,53.522867
#osgb4000000009046371,-2.542935,53.520905
#osgb4000000009046430,-2.542362,53.520872
#osgb5000005200196804,-2.556578,53.526364
#osgb4000000009047554,-2.561168,53.527589
#osgb4000000009047606,-2.560911,53.527536
#osgb4000000009048328,-2.547577,53.532127
#osgb4000000009048348,-2.549379,53.532785
#osgb4000000009047630,-2.557143,53.52892
#osgb4000000009047704,-2.556161,53.52879
#osgb4000000009047937,-2.557257,53.531904
#osgb4000000009047938,-2.556519,53.533103
#osgb4000000009047890,-2.556409,53.528169
#osgb4000000009047710,-2.551703,53.529359
#osgb4000000009048135,-2.557509,53.531507
#osgb4000000009047633,-2.555644,53.530779
#osgb4000000009048345,-2.554002,53.534499
#osgb4000000009666167,-2.539393,53.522635
#osgb4000000009526050,-2.544442,53.512548
#osgb4000000009526049,-2.544588,53.512572
#osgb4000000009046267,-2.543752,53.522277
#osgb5000005181120503,-2.558886,53.528278
#osgb4000000009047870,-2.558943,53.52813
#osgb5000005185199978,-2.541854,53.523101
#osgb4000000009046246,-2.546243,53.517744
#osgb4000000009046261,-2.546736,53.517393
#osgb4000000009046256,-2.540801,53.522667
#osgb4000000009046373,-2.540686,53.523117
#osgb4000000009047605,-2.560834,53.527375
#osgb4000000009747516,-2.560651,53.527437
#osgb4000000009048337,-2.548514,53.52896
#osgb4000000009048344,-2.548755,53.530029
#osgb4000000009047680,-2.556861,53.52698
#osgb4000000009047696,-2.560307,53.531004
#osgb4000000009047697,-2.55849,53.531593
#osgb5000005181120496,-2.557009,53.526158
#osgb4000000009047555,-2.556854,53.526441
#osgb4000000009047884,-2.555231,53.528066
#osgb5000005185199990,-2.542774,53.527589
#osgb4000000009047837,-2.560306,53.525139
#osgb4000000009047845,-2.560143,53.525374
#osgb4000000009048143,-2.551035,53.532526
#osgb4000000009048207,-2.549885,53.525551
#osgb4000000009048206,-2.549643,53.525261
#osgb5000005200196801,-2.555164,53.526067
#osgb4000000009663623,-2.543408,53.520912
#osgb4000000009048459,-2.536984,53.522622
#osgb4000000009666165,-2.536969,53.52293
#osgb4000000009688555,-2.54349,53.521857
#osgb4000000009047607,-2.560758,53.527567
#osgb4000000009047603,-2.560924,53.52741
#osgb5000005181120530,-2.560428,53.528036
#osgb4000000009047690,-2.541029,53.525192
#osgb4000000009047910,-2.541881,53.52478
#osgb4000000009048096,-2.56026,53.528492
#osgb4000000009047867,-2.560377,53.528186
#osgb4000000009048109,-2.551407,53.527364
#osgb4000000009047871,-2.560318,53.52833
#osgb4000000009047909,-2.542902,53.524159
#osgb4000000009047553,-2.558988,53.526997
#osgb4000000009526066,-2.55927,53.527069
#osgb4000000009526212,-2.55269,53.530801
#osgb4000000009526215,-2.551361,53.531225
#osgb4000000009526235,-2.549988,53.532523
#osgb4000000009526234,-2.54995,53.532583
#osgb5000005176878924,-2.549086,53.513063
#osgb5000005176878929,-2.549529,53.513037
#osgb5000005176878914,-2.547343,53.513393
#osgb4000000009688514,-2.547769,53.513227
#osgb4000000009526068,-2.557506,53.52745
#osgb5000005185199995,-2.547757,53.525673
#osgb4000000009047903,-2.548215,53.525672
#osgb4000000009046264,-2.544219,53.520998
#osgb4000000009048327,-2.548226,53.527658
#osgb5000005181120513,-2.548694,53.526119
#osgb4000000009047895,-2.549504,53.527311
#osgb5000005176614432,-2.560934,53.531891
#osgb4000000009688612,-2.560445,53.531682
#osgb4000000009048121,-2.557521,53.531318
#osgb4000000009047919,-2.559051,53.53177
#osgb4000000009048137,-2.556593,53.531853
#osgb4000000009048136,-2.556215,53.531567
#osgb4000000009047878,-2.549475,53.525073
#osgb4000000009048208,-2.549154,53.525422
#osgb4000000009048215,-2.558639,53.53022
#osgb4000000009047892,-2.55638,53.528259
#osgb4000000009050885,-2.539,53.52429
#osgb4000000009526075,-2.548241,53.526483
#osgb4000000009046444,-2.54295,53.521215
#osgb4000000009046272,-2.544387,53.520056
#osgb4000000009046247,-2.544428,53.51973
#osgb4000000009046365,-2.543801,53.51222
#osgb4000000009048358,-2.550364,53.53314
