,row number,USRN ID,Street Name,Authority Name,Administrative area,Town,NodeCount,Node Locations,Links
10218,423427,usrn21107108,,Haringey,HARINGEY,LONDON,2,"[(54.623965, -5.238884), (54.623556, -5.239131)]",['osgb5000005212327110']
10980,519381,usrn21100001,ABBEVILLE ROAD,Haringey,HARINGEY,LONDON,4,"[(54.619245, -5.269208), (54.619063, -5.269523), (54.618989, -5.26961), (54.618914, -5.269728)]",['osgb4000000030357592']
10981,519382,usrn21100013,ALEXANDRA MEWS,Haringey,HARINGEY,LONDON,7,"[(54.601748, -5.259089), (54.60177, -5.259292), (54.601778, -5.259339), (54.601837, -5.259468), (54.601846, -5.259526), (54.601851, -5.259624), (54.601834, -5.259917)]",['osgb4000000030331596']
10982,519383,usrn21100019,ANNINGTON ROAD,Haringey,HARINGEY,LONDON,6,"[(54.602002, -5.260007), (54.602012, -5.259993), (54.602273, -5.259983), (54.602309, -5.259983), (54.602479, -5.259984), (54.602992, -5.259994)]","['osgb4000000030225524', 'osgb4000000030331597']"
10983,519384,usrn21100034,ATHENAEUM PLACE,Haringey,HARINGEY,LONDON,7,"[(54.60884, -5.260183), (54.608614, -5.260583), (54.608558, -5.260593), (54.608509, -5.2606), (54.608486, -5.260635), (54.608332, -5.26101), (54.608313, -5.261054)]",['osgb4000000030357634']
10984,519385,usrn21100036,AVENUE MEWS,Haringey,HARINGEY,LONDON,4,"[(54.60986, -5.25839), (54.609705, -5.25878), (54.609377, -5.259265), (54.609056, -5.259844)]",['osgb4000000030253134']
10985,519386,usrn21100043,BADEN ROAD,Haringey,HARINGEY,LONDON,3,"[(54.620701, -5.262496), (54.620699, -5.262542), (54.620554, -5.263584)]",['osgb4000000030253188']
10986,519387,usrn21100047,BANCROFT AVENUE,Haringey,HARINGEY,LONDON,10,"[(54.597449, -5.273427), (54.597517, -5.272936), (54.597611, -5.272107), (54.597613, -5.27203), (54.597607, -5.271952), (54.59759, -5.271904), (54.59753, -5.271806), (54.597451, -5.271707), (54.597206, -5.271424), (54.596351, -5.270437)]",['osgb4000000030097925']
10987,519388,usrn21100058,BEDFORD ROAD,Haringey,HARINGEY,LONDON,4,"[(54.618956, -5.277788), (54.619288, -5.278822), (54.619324, -5.278933), (54.619579, -5.279713)]",['osgb4000000030154414']
10988,519389,usrn21100073,BERKELEY ROAD,Haringey,HARINGEY,LONDON,12,"[(54.620246, -5.280944), (54.620319, -5.279927), (54.620313, -5.279818), (54.620175, -5.279265), (54.620114, -5.278997), (54.620111, -5.278981), (54.619987, -5.278568), (54.619936, -5.278456), (54.619435, -5.277393), (54.619417, -5.27736), (54.61891, -5.276498), (54.618833, -5.276384)]","['osgb4000000030154415', 'osgb4000000030253021', 'osgb4000000030253082']"
10989,519390,usrn21100079,BIRCHINGTON ROAD,Haringey,HARINGEY,LONDON,11,"[(54.619354, -5.281709), (54.619226, -5.281249), (54.619181, -5.281091), (54.619123, -5.280916), (54.619077, -5.280737), (54.618936, -5.280188), (54.61879, -5.279603), (54.618563, -5.278872), (54.618385, -5.2783), (54.618071, -5.277283), (54.618021, -5.277139)]","['osgb4000000030253020', 'osgb4000000030253027', 'osgb4000000030253034']"
10990,519391,usrn21100080,BIRCHWOOD AVENUE,Haringey,HARINGEY,LONDON,10,"[(54.606427, -5.262654), (54.606358, -5.260852), (54.606346, -5.260649), (54.606348, -5.260231), (54.606352, -5.260108), (54.606376, -5.259877), (54.606448, -5.259542), (54.606478, -5.259405), (54.606585, -5.259135), (54.606699, -5.258896)]",['osgb4000000030154442']
10991,519392,usrn21100085,BISHOPS ROAD,Haringey,HARINGEY,LONDON,7,"[(54.605433, -5.279669), (54.605413, -5.279759), (54.605409, -5.280088), (54.605409, -5.280137), (54.605438, -5.28086), (54.605511, -5.282933), (54.605536, -5.283601)]","['osgb4000000030154383', 'osgb4000000030252997', 'osgb5000005211680776']"
10992,519393,usrn21100088,BLOOMFIELD ROAD,Haringey,HARINGEY,LONDON,15,"[(54.605438, -5.28086), (54.605528, -5.280889), (54.605669, -5.281025), (54.605721, -5.281076), (54.605782, -5.281158), (54.605816, -5.281223), (54.605918, -5.281448), (54.606002, -5.281672), (54.606044, -5.281783), (54.606101, -5.281989), (54.606142, -5.282148), (54.606187, -5.282476), (54.606208, -5.28271), (54.606222, -5.28299), (54.606243, -5.283395)]",['osgb4000000030154384']
10993,519394,usrn21100102,BROADLANDS CLOSE,Haringey,HARINGEY,LONDON,4,"[(54.603704, -5.286164), (54.603751, -5.286106), (54.603842, -5.286067), (54.603842, -5.286067), (54.604025, -5.285948), (54.603572, -5.285085), (54.603667, -5.285526), (54.603792, -5.285908), (54.603842, -5.286067)]","['osgb4000000030357551', 'osgb4000000030425731', 'osgb4000000030462800']"
