row number,USRN ID,Street Name,Authority Name,Administrative area,Town,Location
13828,usrn20004085,BONVILLE GARDENS,Barnet,BARNET,LONDON,"[(54.553041, -5.260073), (54.553241, -5.259996), (54.553241, -5.259996), (54.55326, -5.259933), (54.553299, -5.259864), (54.553334, -5.259831), (54.553241, -5.259996), (54.55325, -5.260028), (54.55328, -5.260247), (54.55327, -5.260277), (54.55327, -5.260277), (54.55307, -5.260338), (54.55327, -5.260277), (54.553316, -5.260334), (54.553394, -5.260387)]"
13834,usrn20004270,BOXWORTH CLOSE,Barnet,BARNET,LONDON,"[(54.592789, -5.220049), (54.592816, -5.2203), (54.592816, -5.2203), (54.592871, -5.220273), (54.593023, -5.220276), (54.593131, -5.220278), (54.592716, -5.22032), (54.592762, -5.220311), (54.592816, -5.2203)]"
13836,usrn20004320,BRACKENBURY ROAD,Barnet,BARNET,LONDON,"[(54.587089, -5.256183), (54.587398, -5.255763), (54.588247, -5.254602), (54.58858, -5.254147), (54.58891, -5.253697), (54.58892, -5.253651), (54.58892, -5.253644)]"
13839,usrn20004395,BRAMLEY CLOSE,Barnet,BARNET,LONDON,"[(54.545034, -5.197597), (54.544883, -5.197614), (54.54488, -5.197614), (54.544861, -5.197618), (54.544504, -5.197694), (54.544163, -5.197767), (54.544031, -5.197684), (54.543645, -5.197747)]"
13842,usrn20004431,BRANCASTER DRIVE,Barnet,BARNET,LONDON,"[(54.55065, -5.230105), (54.550728, -5.229794), (54.550729, -5.22978), (54.550726, -5.229759), (54.550719, -5.229738), (54.550701, -5.229709), (54.55052, -5.229496)]"
13844,usrn20004505,FAIRWAY,Barnet,BARNET,LONDON,"[(54.563008, -5.281541), (54.563048, -5.281374), (54.563078, -5.281268), (54.563088, -5.281238), (54.563134, -5.281179), (54.563459, -5.280819), (54.563634, -5.280647), (54.563801, -5.280459), (54.563857, -5.280387), (54.563885, -5.280341), (54.563909, -5.28029), (54.56393, -5.280244), (54.563961, -5.280093)]"
13847,usrn20004610,FEERING ROW,Barnet,BARNET,LONDON,"[(54.561217, -5.261979), (54.56127, -5.262355), (54.561172, -5.26246)]"
13851,usrn20004745,FIRMANS,Barnet,BARNET,LONDON,"[(54.566168, -5.275534), (54.566101, -5.27547), (54.566068, -5.27547), (54.566018, -5.275624), (54.565904, -5.275931), (54.565878, -5.276014), (54.565895, -5.27607), (54.565951, -5.276137)]"
13857,usrn20005020,BRINSDALE ROAD,Barnet,BARNET,LONDON,"[(54.564477, -5.256731), (54.564404, -5.257189), (54.564404, -5.257189), (54.564333, -5.257493), (54.564313, -5.257554), (54.564275, -5.257612), (54.564248, -5.257626), (54.564221, -5.257639), (54.564203, -5.257638), (54.563902, -5.257459), (54.563592, -5.257295), (54.56345, -5.257206), (54.564404, -5.257189), (54.564765, -5.257472), (54.564819, -5.257553), (54.564669, -5.257668), (54.564819, -5.257553), (54.564819, -5.257553), (54.565019, -5.2574)]"
13858,usrn20005040,BRITANNIA ROAD,Barnet,BARNET,LONDON,"[(54.589608, -5.205172), (54.589885, -5.205104), (54.590508, -5.20496), (54.590725, -5.204917)]"
13861,usrn20005180,BROADWAY MEWS,Barnet,BARNET,LONDON,"[(54.604055, -5.21937), (54.6041, -5.219313), (54.604126, -5.219281), (54.604375, -5.219004)]"
13863,usrn20005270,BROMPTON MEWS,Barnet,BARNET,LONDON,"[(54.589432, -5.226764), (54.589476, -5.227252), (54.589481, -5.227315), (54.589497, -5.227489)]"
13868,usrn20005420,BROOKFIELD CLOSE,Barnet,BARNET,LONDON,"[(54.558641, -5.225293), (54.558831, -5.225261), (54.559175, -5.225165), (54.559194, -5.225155)]"
13871,usrn20005520,BROOKLAND GARTH,Barnet,BARNET,LONDON,"[(54.58091, -5.261631), (54.580678, -5.261523), (54.580474, -5.261429)]"
13874,usrn20005640,BROOKSIDE ROAD,Barnet,BARNET,LONDON,"[(54.572497, -5.280091), (54.572498, -5.28006), (54.572491, -5.279997), (54.572416, -5.279775), (54.572349, -5.279599), (54.572255, -5.27939), (54.572136, -5.279164), (54.572076, -5.279051), (54.571973, -5.278857), (54.57187, -5.278678), (54.571835, -5.278618), (54.57162, -5.278271), (54.571248, -5.277746), (54.571152, -5.27763), (54.571048, -5.277498), (54.570929, -5.277365), (54.570751, -5.277165), (54.570358, -5.276762), (54.570349, -5.276745), (54.569797, -5.276221)]"
13875,usrn20005700,BROWNLOW ROAD,Barnet,BARNET,LONDON,"[(54.583651, -5.230505), (54.583397, -5.230068), (54.58323, -5.229775), (54.582858, -5.229137)]"
13878,usrn20005800,BRUNSWICK AVENUE,Barnet,BARNET,LONDON,"[(54.605623, -5.204274), (54.605706, -5.204203), (54.606182, -5.203783), (54.606341, -5.203649), (54.606405, -5.203607), (54.606478, -5.203567), (54.606551, -5.203526), (54.606877, -5.203384), (54.60696, -5.203348), (54.607278, -5.203211), (54.607369, -5.203172), (54.607479, -5.203119), (54.607687, -5.203058), (54.607931, -5.20303)]"
13881,usrn20005960,BUCKINGHAM AVENUE,Barnet,BARNET,LONDON,"[(54.594714, -5.177449), (54.5946, -5.177332), (54.594469, -5.177198), (54.59438, -5.177144), (54.594265, -5.177073), (54.594167, -5.177037), (54.594158, -5.177034), (54.594069, -5.177012), (54.593836, -5.176993), (54.593664, -5.177011), (54.593538, -5.177048), (54.59342, -5.177112), (54.593382, -5.177144), (54.593326, -5.177217), (54.593252, -5.17732), (54.593205, -5.177393), (54.593081, -5.177647), (54.592784, -5.178353), (54.592602, -5.178786), (54.592525, -5.178945), (54.592459, -5.179069), (54.592376, -5.179171), (54.592229, -5.179299), (54.591911, -5.179465), (54.591851, -5.179472), (54.591545, -5.179648), (54.591168, -5.179975), (54.590846, -5.180229), (54.590302, -5.18071), (54.590211, -5.180783), (54.590133, -5.180845), (54.59013, -5.180847), (54.589992, -5.180936), (54.589882, -5.18099), (54.589773, -5.181058)]"
13882,usrn20005970,BUCKLAND CLOSE,Barnet,BARNET,LONDON,"[(54.553994, -5.206159), (54.553689, -5.206973), (54.553641, -5.207077), (54.553623, -5.207091), (54.553569, -5.207102), (54.553498, -5.207066), (54.553069, -5.20663)]"
13884,usrn20005980,BUDD CLOSE,Barnet,BARNET,LONDON,"[(54.58549, -5.207042), (54.585355, -5.207016), (54.585311, -5.206997), (54.585152, -5.206876), (54.585099, -5.206872), (54.585081, -5.206871), (54.585053, -5.206884), (54.585026, -5.206913), (54.584978, -5.207002), (54.584866, -5.207504), (54.58453, -5.208979), (54.584538, -5.209011), (54.584742, -5.209131)]"
13890,usrn20006170,BURNHAM CLOSE,Barnet,BARNET,LONDON,"[(54.551227, -5.232549), (54.551239, -5.232427), (54.551257, -5.232354), (54.551257, -5.232354), (54.55128, -5.23226), (54.551347, -5.232095), (54.551377, -5.232004), (54.551411, -5.231713), (54.551257, -5.232354), (54.551171, -5.23232)]"
13903,usrn20006500,BYRON DRIVE,Barnet,BARNET,LONDON,"[(54.591922, -5.27964), (54.591904, -5.279639), (54.591878, -5.279621), (54.591869, -5.279605), (54.591862, -5.279558), (54.591862, -5.279527), (54.591872, -5.279497), (54.591891, -5.279467), (54.591909, -5.279453), (54.591937, -5.279467), (54.591953, -5.279488), (54.591962, -5.279519), (54.591969, -5.279567), (54.59196, -5.279597), (54.59195, -5.279627), (54.591922, -5.27964), (54.592423, -5.280408), (54.592285, -5.280211), (54.591939, -5.279703), (54.591922, -5.27964)]"
13904,usrn20006580,CADOGAN GARDENS,Barnet,BARNET,LONDON,"[(54.582244, -5.240765), (54.582262, -5.240767), (54.582931, -5.24164), (54.583149, -5.241941), (54.583152, -5.241974), (54.583139, -5.242011)]"
13911,usrn20006710,CAMBSTONE CLOSE,Barnet,BARNET,LONDON,"[(54.608423, -5.196315), (54.608206, -5.196376), (54.607877, -5.196551), (54.608423, -5.196315), (54.608495, -5.196294), (54.608505, -5.196291), (54.608522, -5.196292), (54.60854, -5.196309), (54.608557, -5.196341), (54.608565, -5.196373), (54.608643, -5.196844), (54.608641, -5.196909), (54.608637, -5.196932), (54.608622, -5.196951), (54.608595, -5.196964), (54.608576, -5.196978), (54.608549, -5.196976), (54.608532, -5.196959), (54.608523, -5.196943), (54.608485, -5.196702), (54.608423, -5.196315)]"
